Circuit,Year,Circuit_Cases
1,25,95
2,25,329
3,25,116
4,25,99
5,25,175
6,25,222
7,25,81
8,25,330
9,25,289
0,25,196
1,26,95
2,26,339
3,26,118
4,26,131
5,26,170
6,26,227
7,26,102
8,26,377
9,26,210
0,26,219
0,27,187
1,27,86
2,27,307
3,27,107
4,27,99
5,27,205
6,27,188
7,27,94
8,27,374
9,27,188
1,28,104
2,28,312
3,28,137
4,28,109
5,28,232
6,28,190
7,28,95
8,28,331
9,28,213
0,28,177
1,29,90
2,29,317
3,29,154
4,29,122
5,29,195
6,29,184
7,29,82
8,29,360
9,29,277
0,29,128
1,30,69
2,30,362
3,30,159
4,30,148
5,30,238
6,30,242
7,30,119
8,30,259
9,30,304
10,30,178
0,30,121
1,31,76
2,31,392
3,31,176
4,31,140
5,31,266
6,31,260
7,31,139
8,31,272
9,31,281
10,31,200
0,31,173
1,32,94
2,32,315
3,32,185
4,32,146
5,32,280
6,32,252
7,32,155
8,32,253
9,32,283
10,32,158
0,32,176
1,33,91
2,33,433
3,33,174
4,33,149
5,33,296
6,33,242
7,33,167
8,33,221
9,33,281
10,33,220
0,33,198
1,34,86
2,34,427
3,34,178
4,34,169
5,34,326
6,34,159
7,34,216
8,34,280
9,34,278
10,34,203
0,34,213
1,35,72
2,35,434
3,35,178
4,35,196
5,35,280
6,35,105
7,35,253
8,35,267
9,35,324
10,35,158
0,35,149
1,36,84
2,36,406
3,36,154
4,36,138
5,36,259
6,36,262
7,36,277
8,36,230
9,36,284
10,36,157
0,36,167
1,37,82
2,37,397
3,37,189
4,37,112
5,37,285
6,37,263
7,37,276
8,37,225
9,37,326
10,37,122
0,37,154
1,38,60
2,38,355
3,38,184
4,38,161
5,38,292
6,38,232
7,38,240
8,38,251
9,38,352
10,38,134
0,38,147
1,39,59
2,39,336
3,39,230
4,39,137
5,39,248
6,39,282
7,39,214
8,39,297
9,39,284
10,39,166
0,39,146
1,40,81
2,40,346
3,40,188
4,40,130
5,40,300
6,40,252
7,40,238
8,40,257
9,40,325
10,40,198
0,40,166
1,41,72
2,41,316
3,41,195
4,41,106
5,41,283
6,41,252
7,41,243
8,41,251
9,41,273
10,41,171
0,41,189
1,42,132
2,42,323
3,42,195
4,42,103
5,42,315
6,42,250
7,42,232
8,42,303
9,42,259
10,42,184
0,42,183
1,43,53
2,43,297
3,43,177
4,43,93
5,43,263
6,43,211
7,43,242
8,43,265
9,43,110
10,43,171
0,43,147
1,44,62
2,44,324
3,44,144
4,44,98
5,44,244
6,44,147
7,44,146
8,44,212
9,44,277
10,44,136
0,44,158
1,45,56
2,45,336
3,45,168
4,45,76
5,45,239
6,45,155
7,45,148
8,45,232
9,45,271
10,45,141
0,45,164
1,46,71
2,46,255
3,46,142
4,46,74
5,46,255
6,46,141
7,46,155
8,46,175
9,46,238
10,46,151
0,46,168
1,47,58
2,47,274
3,47,151
4,47,110
5,47,261
6,47,137
7,47,154
8,47,152
9,47,222
10,47,157
0,47,139
1,48,64
2,48,241
3,48,174
4,48,107
5,48,267
6,48,171
7,48,148
8,48,179
9,48,157
10,48,55
0,48,158
1,49,56
2,49,298
3,49,189
4,49,137
5,49,313
6,49,187
7,49,176
8,49,178
9,49,232
10,49,186
0,49,203
1,50,53
2,50,196
3,50,202
4,50,154
5,50,303
6,50,197
7,50,195
8,50,226
9,50,262
10,50,157
0,50,228
1,51,52
2,51,268
3,51,150
4,51,125
5,51,327
6,51,158
7,51,165
8,51,205
9,51,269
10,51,161
0,51,207
1,52,59
2,52,253
3,52,192
4,52,142
5,52,403
6,52,170
7,52,164
8,52,84
9,52,238
10,52,174
0,52,245
1,53,64
2,53,261
3,53,209
4,53,139
5,53,379
6,53,204
7,53,162
8,53,211
9,53,249
10,53,156
0,53,192
1,54,68
2,54,188
3,54,129
4,54,114
5,54,383
6,54,185
7,54,135
8,54,188
9,54,279
10,54,123
0,54,167
1,55,55
2,55,311
3,55,177
4,55,172
5,55,448
6,55,207
7,55,211
8,55,218
9,55,434
10,55,192
0,55,303
1,56,78
2,56,320
3,56,189
4,56,156
5,56,439
6,56,288
7,56,212
8,56,193
9,56,375
10,56,110
0,56,318
1,57,79
2,57,348
3,57,189
4,57,184
5,57,419
6,57,226
7,57,220
8,57,189
9,57,342
10,57,200
0,57,353
1,58,73
2,58,337
3,58,246
4,58,167
5,58,500
6,58,251
7,58,203
8,58,219
9,58,359
10,58,184
0,58,354
1,59,55
2,59,359
3,59,218
4,59,170
5,59,448
6,59,220
7,59,225
8,59,204
9,59,330
10,59,224
0,59,334
1,60,93
2,60,368
3,60,204
4,60,175
5,60,441
6,60,260
7,60,221
8,60,234
9,60,334
10,60,55
0,60,319
1,61,91
2,61,365
3,61,197
4,61,186
5,61,477
6,61,242
7,61,222
8,61,222
9,61,348
10,61,218
0,61,299
1,62,112
2,62,415
3,62,202
4,62,231
5,62,555
6,62,250
7,62,244
8,62,253
9,62,373
10,62,235
0,62,306
1,63,83
2,63,413
3,63,253
4,63,227
5,63,609
6,63,252
7,63,263
8,63,275
9,63,412
10,63,242
0,63,339
1,64,112
2,64,410
3,64,260
4,64,280
5,64,659
6,64,312
7,64,247
8,64,222
9,64,403
10,64,268
0,64,235
1,65,95
2,65,406
3,65,246
4,65,238
5,65,634
6,65,274
7,65,298
8,65,245
9,65,409
10,65,272
0,65,294
1,66,119
2,66,110
3,66,297
4,66,298
5,66,784
6,66,257
7,66,307
8,66,232
9,66,492
10,66,298
0,66,263
1,67,110
2,67,393
3,67,338
4,67,364
5,67,926
6,67,325
7,67,284
8,67,221
9,67,491
10,67,338
0,67,266
1,68,105
2,68,110
3,68,306
4,68,312
5,68,1054
6,68,340
7,68,298
8,68,224
9,68,539
10,68,280
0,68,269
1,69,121
2,69,434
3,69,328
4,69,324
5,69,1228
6,69,430
7,69,348
8,69,286
9,69,746
10,69,282
0,69,325
1,70,155
2,70,523
3,70,350
4,70,385
5,70,1464
6,70,451
7,70,344
8,70,340
9,70,950
10,70,353
0,70,315
1,71,146
2,71,565
3,71,403
4,71,289
5,71,1818
6,71,379
7,71,382
8,71,411
9,71,1159
10,71,364
0,71,276
1,72,152
2,72,459
3,72,537
4,72,269
5,72,1462
6,72,417
7,72,381
8,72,427
9,72,1012
10,72,418
0,72,325
1,73,138
2,73,428
3,73,293
4,73,246
5,73,1307
6,73,380
7,73,287
8,73,399
9,73,626
10,73,287
0,73,279
1,74,164
2,74,490
3,74,206
4,74,234
5,74,1129
6,74,395
7,74,360
8,74,417
9,74,582
10,74,240
0,74,293
1,75,161
2,75,537
3,75,110
4,75,278
5,75,1021
6,75,401
7,75,405
8,75,494
9,75,655
10,75,227
0,75,275
1,76,189
2,76,466
3,76,254
4,76,295
5,76,1044
6,76,318
7,76,328
8,76,549
10,76,228
0,76,252
1,77,205
2,77,464
3,77,259
4,77,299
5,77,1185
6,77,273
7,77,320
8,77,585
9,77,596
10,77,241
0,77,273
1,78,246
2,78,377
3,78,291
4,78,277
5,78,1288
6,78,321
7,78,344
8,78,518
9,78,654
10,78,287
0,78,236
1,79,230
2,79,376
3,79,279
4,79,286
5,79,1205
6,79,289
7,79,331
8,79,523
9,79,752
10,79,309
0,79,227
1,80,245
2,80,411
3,80,328
4,80,306
5,80,1496
6,80,437
7,80,377
8,80,550
9,80,860
10,80,361
0,80,411
1,81,269
2,81,366
3,81,302
4,81,334
5,81,1630
6,81,399
7,81,357
8,81,650
9,81,770
10,81,336
0,81,325
1,82,266
2,82,417
3,82,353
4,82,340
5,82,998
6,82,424
7,82,509
8,82,626
9,82,890
10,82,55
11,82,654
0,82,302
1,83,281
2,83,479
3,83,342
4,83,339
5,83,989
6,83,496
7,83,578
8,83,688
9,83,914
10,83,359
11,83,726
0,83,341
1,84,309
2,84,505
3,84,326
4,84,340
5,84,790
6,84,501
7,84,546
8,84,784
9,84,799
10,84,357
11,84,761
0,84,331
1,85,287
2,85,543
3,85,358
4,85,380
5,85,844
6,85,475
7,85,691
8,85,673
9,85,941
10,85,342
11,85,748
0,85,295
1,86,320
2,86,488
3,86,346
4,86,405
5,86,963
6,86,470
7,86,672
8,86,694
9,86,1069
10,86,334
11,86,816
0,86,314
1,87,371
2,87,428
3,87,350
4,87,355
5,87,838
6,87,261
7,87,699
8,87,221
9,87,1025
10,87,348
11,87,663
0,87,394
1,88,358
2,88,508
3,88,377
4,88,321
5,88,810
6,88,486
7,88,676
8,88,605
9,88,820
10,88,336
11,88,616
0,88,388
1,89,195
2,89,246
3,89,192
4,89,173
5,89,432
6,89,269
7,89,324
8,89,379
9,89,482
10,89,186
11,89,296
0,89,166
1,90,189
2,90,269
3,90,150
4,90,172
5,90,447
6,90,243
7,90,378
8,90,419
9,90,494
10,90,262
11,90,291
0,90,149
1,91,453
2,91,592
3,91,295
4,91,382
5,91,789
6,91,474
7,91,736
8,91,220
9,91,1007
10,91,558
11,91,586
0,91,277
1,92,252
2,92,522
3,92,289
4,92,342
5,92,913
6,92,421
7,92,881
8,92,926
9,92,911
10,92,530
11,92,478
0,92,293
1,93,381
2,93,499
3,93,283
4,93,362
5,93,911
6,93,444
7,93,842
8,93,126
9,93,920
10,93,540
11,93,452
0,93,288
1,94,323
2,94,547
3,94,312
4,94,261
5,94,717
6,94,426
7,94,1021
8,94,911
9,94,952
10,94,523
11,94,425
0,94,193
1,95,328
2,95,523
3,95,301
4,95,324
5,95,659
6,95,388
7,95,751
8,95,797
9,95,951
10,95,449
11,95,401
0,95,192
1,96,314
2,96,658
3,96,243
4,96,243
5,96,605
6,96,404
7,96,839
8,96,849
9,96,936
10,96,472
11,96,472
0,96,264
